agglomeration,Data_year,nombre_pieces_homogene,average_loyer_m2,average_surface,total_nombre_logements,total_nombre_observations
Agglomération de Douai,2016,Appart 3P,8.200000000000001,65.83333333333333,3246.0,988.0
Agglomération de Douai,2016,Appart 4P et plus,6.92,89.4,2372.0,632.0
Agglomération de Douai,2016,Ensemble 1P,12.3,29.0,879.0,258.0
Agglomération de Douai,2016,Ensemble 2P,9.65,46.166666666666664,3014.0,1044.0
Agglomération de Douai,2016,Ensemble 3P,8.242857142857144,65.14285714285714,3555.0,990.0
Agglomération d'Alençon,2016,Maison 1-3P,7.666666666666667,59.333333333333336,1692.0,652.0
Agglomération d'Alençon,2016,Ensemble 4P et plus,6.3999999999999995,94.57142857142857,1992.0,1506.0
Agglomération d'Alençon,2016,Maison 4P et plus,6.4125,96.875,3282.0,1496.0
Agglomération d'Alençon,2016,Appart 1P,10.68,27.8,1306.0,784.0
Agglomération d'Alençon,2016,Appart 2P,8.333333333333334,43.666666666666664,2238.0,1152.0
Agglomération d'Alençon,2016,Appart 3P,7.0200000000000005,62.8,1512.0,812.0
Agglomération d'Alençon,2016,Appart 4P et plus,6.1000000000000005,82.33333333333333,702.0,512.0
Agglomération d'Alençon,2016,Ensemble 1P,10.525,28.0,690.0,600.0
Agglomération d'Alençon,2016,Ensemble 2P,8.483333333333333,44.0,1344.0,975.0
Agglomération d'Alençon,2016,Ensemble 3P,7.175,63.0,1341.0,975.0
Agglomération de Clermont-Ferrand,2016,Maison 1-3P,7.4125,65.375,12946.0,1648.0
Agglomération de Clermont-Ferrand,2016,Ensemble 4P et plus,7.218181818181819,95.86363636363636,27648.0,6648.0
Agglomération de Clermont-Ferrand,2016,Maison 4P et plus,6.988888888888889,102.61111111111111,26554.0,3432.0
Agglomération de Clermont-Ferrand,2016,Appart 1P,11.82857142857143,27.238095238095237,27736.0,6544.0
Agglomération de Clermont-Ferrand,2016,Appart 2P,9.526923076923078,45.15384615384615,51700.0,10808.0
Agglomération de Clermont-Ferrand,2016,Appart 3P,7.9875,65.125,47564.0,8312.0
Agglomération de Clermont-Ferrand,2016,Appart 4P et plus,7.109999999999999,90.0,28740.0,5432.0
Agglomération de Clermont-Ferrand,2016,Ensemble 1P,11.81111111111111,27.22222222222222,14060.0,4956.0
Agglomération de Clermont-Ferrand,2016,Ensemble 2P,9.482608695652173,45.30434782608695,27347.0,8382.0
Agglomération de Clermont-Ferrand,2016,Ensemble 3P,7.895238095238096,66.66666666666667,28565.0,7146.0
Unité urbaine de l'agglomération de Bayonne,2016,Maison 1-3P,11.7,59.0,2696.0,264.0
Unité urbaine de l'agglomération de Bayonne,2016,Maison 4P et plus,9.675,111.5,5884.0,744.0
Unité urbaine de l'agglomération de Bayonne,2016,Appart 1P,14.675,28.25,6094.0,2288.0
Unité urbaine de l'agglomération de Bayonne,2016,Appart 2P,11.711111111111112,44.111111111111114,18984.0,7364.0
Unité urbaine de l'agglomération de Bayonne,2016,Appart 3P,10.211111111111112,65.22222222222223,19196.0,6300.0
Unité urbaine de l'agglomération de Bayonne,2016,Appart 4P et plus,9.5875,89.0,9560.0,2460.0
Eurométropole de Strasbourg,2016,Ensemble 4P et plus,8.3375,105.66666666666667,37423.0,9162.0
Eurométropole de Strasbourg,2016,Maison 4P et plus,8.080000000000002,123.0,7249.0,992.0
Eurométropole de Strasbourg,2016,Appart 1P,13.508333333333333,28.625,48348.0,11576.0
Eurométropole de Strasbourg,2016,Appart 2P,10.466666666666667,49.629629629629626,86560.0,20872.0
Eurométropole de Strasbourg,2016,Appart 3P,9.070370370370371,71.55555555555556,90172.0,18688.0
Eurométropole de Strasbourg,2016,Appart 4P et plus,8.24074074074074,101.5925925925926,64224.0,11224.0
Eurométropole de Strasbourg,2016,Ensemble 1P,13.514285714285714,28.61904761904762,24284.0,8694.0
Eurométropole de Strasbourg,2016,Ensemble 2P,10.479166666666666,49.583333333333336,43672.0,15696.0
Eurométropole de Strasbourg,2016,Ensemble 3P,9.0625,71.83333333333333,46442.0,14118.0
Agglomération de Lyon,2016,Ensemble 4P et plus,9.729166666666666,99.5,98190.0,32454.0
Agglomération de Lyon,2016,Appart 1P,14.896296296296295,30.14814814814815,107636.0,28904.0
Agglomération de Lyon,2016,Appart 2P,12.022222222222224,47.51851851851852,248040.0,52880.0
Agglomération de Lyon,2016,Appart 3P,10.4,67.70370370370371,225612.0,55992.0
Agglomération de Lyon,2016,Appart 4P et plus,9.625925925925925,95.11111111111111,148218.0,39120.0
Agglomération de Lyon,2016,Ensemble 1P,14.966666666666667,30.25,54118.0,21738.0
Agglomération de Lyon,2016,Ensemble 2P,11.995833333333332,47.708333333333336,126133.0,39954.0
Agglomération de Lyon,2016,Ensemble 3P,10.424999999999999,67.58333333333333,119162.0,42798.0
Agglomération parisienne,2016,Maison 1-3P,15.05,55.5,0.0,535.0
Agglomération parisienne,2016,Maison 4P et plus,13.85,106.0,0.0,566.0
Agglomération parisienne,2016,Appart 1P,23.47222222222222,26.166666666666668,0.0,19856.0
Agglomération parisienne,2016,Appart 2P,19.594444444444445,43.05555555555556,0.0,30378.0
Agglomération parisienne,2016,Appart 3P,17.76111111111111,63.166666666666664,0.0,22016.0
Agglomération parisienne,2016,Appart 4P et plus,17.33888888888889,97.16666666666667,0.0,12850.0
Agglomération parisienne,2016,Ensemble 1P,22.06,39.6,0.0,13205.0
Agglomération parisienne,2016,Ensemble 2P,20.38,39.93333333333333,0.0,19536.0
Agglomération parisienne,2016,Ensemble 3P,18.14,59.266666666666666,0.0,15567.0
Agglomération parisienne,2016,Ensemble 4P et plus,17.366666666666667,93.8,0.0,10576.0
Paris intra-muros,2016,Appart 1P,26.2,25.5,0.0,9242.0
Paris intra-muros,2016,Appart 2P,22.983333333333334,43.0,0.0,12010.0
Paris intra-muros,2016,Appart 3P,21.7,64.0,0.0,7176.0
Paris intra-muros,2016,Appart 4P et plus,21.400000000000002,105.66666666666667,0.0,5442.0
Paris intra-muros,2016,Ensemble 1P,26.18,25.6,0.0,6288.0
Paris intra-muros,2016,Ensemble 2P,22.98,43.2,0.0,8170.0
Paris intra-muros,2016,Ensemble 3P,21.740000000000002,64.2,0.0,4874.0
Paris intra-muros,2016,Ensemble 4P et plus,21.4,105.6,0.0,3736.0
Agglomération parisienne (hors Paris),2016,Maison 1-3P,15.0,55.0,0.0,528.0
Agglomération parisienne (hors Paris),2016,Maison 4P et plus,13.7,106.0,0.0,550.0
Agglomération parisienne (hors Paris),2016,Appart 1P,20.849999999999998,26.833333333333332,0.0,10614.0
Agglomération parisienne (hors Paris),2016,Appart 2P,16.683333333333334,43.0,0.0,18368.0
Agglomération parisienne (hors Paris),2016,Appart 3P,14.700000000000001,62.666666666666664,0.0,14840.0
Agglomération parisienne (hors Paris),2016,Appart 4P et plus,13.733333333333334,89.5,0.0,7408.0
Agglomération parisienne (hors Paris),2016,Ensemble 1P,20.880000000000003,26.8,0.0,7068.0
Agglomération parisienne (hors Paris),2016,Ensemble 2P,16.66,43.0,0.0,12408.0
Agglomération parisienne (hors Paris),2016,Ensemble 3P,14.719999999999999,62.6,0.0,10350.0
Agglomération parisienne (hors Paris),2016,Ensemble 4P et plus,13.780000000000001,95.2,0.0,5990.0
Agglomération de Toulon,2016,Maison 1-3P,10.549999999999999,62.333333333333336,21482.0,1290.0
Agglomération de Toulon,2016,Ensemble 4P et plus,9.747826086956522,90.26086956521739,71052.0,8904.0
Agglomération de Toulon,2016,Maison 4P et plus,10.36,101.0,27950.0,2268.0
Agglomération de Toulon,2016,Appart 1P,14.066666666666668,28.75,36048.0,5958.0
Agglomération de Toulon,2016,Appart 2P,11.966666666666667,44.333333333333336,88032.0,14166.0
Agglomération de Toulon,2016,Appart 3P,10.233333333333333,63.75,94744.0,14784.0
Agglomération de Toulon,2016,Appart 4P et plus,9.416666666666666,83.83333333333333,43542.0,6636.0
